"Pdf Customiser by Fooman","Fooman Pdf Düzenleyici"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Fatura Pdf'inin altında görünecek yorumlarınızı ekleyin. Banka hesap numaranız ve ödeme şartlarınız için kullanabilirsiniz."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Buraya Alacak kaydı Pdflerinin altında görünecek notunuzu girin."
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Buraya Kargo Pdflerinin altında görünecek notunuzu girin."
"Bottom Margin","Alt Kenar Boşluğu"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Helvetica, Times ya da Courier gibi fontları küçük dosya boyutları için seçin. Dejavu-Varyasyonlarını UTF-8 desteklemesi için seçiniz."
"Credit Memo Title","Alacak Kaydı Başlığı"
"Custom Text","Özel Metin"
"Font","Font"
"Base Font Size","Ana Font Boyutu"
"Invoice Title","Fatura Başlığı"
"Logo for the Pdf","Pdf için Logo"
"Page Size","Sayfa Boyutu"
"Shipment Title","Kargo Başlığı"
"Side Margins","Yan Başlığı"
"Store Address","Mağaza Adresi"
"Tax Details","Vergi Detayları"
"Top Margin","Üst Boşluğu"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Alacak kaydında hangi adres görünmeli? İndirilebilir ürünlerin siparişleri kargo adresi barındırmaz."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Faturada hangi adres görünmeli? İndirilebilir ürünlerin siparişleri kargo adresi barındırmaz."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Ambalaj kağıdında hangi adres görünmeli? İndirilebilir ürünlerin siparişleri kargo adresi barındırmaz."
"A4","A4"
"letter","letter"
"Billing Address only","Sadece fatura adresi"
"Shipping Address only","Sadece kargo adresi"
"Both Addresses","İki adres"
"Courier","Kurye"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Dijital İmzalı Pdf"
"Signature","İmza"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Sertifika/İmza dosyanızda yer alan private key'i buraya kopyalayın. -----BEGIN RSA PRIVATE KEY----- ile -----END CERTIFICATE----- arasındaki herşey dahil."
"Password of Signature","İmzanın Şifresi"
"THSarabunPSK (Thai)","THSarabunPSK (Tai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Buraya sipariş Pdfinizin altında görünecek olan yorumları ekleyin."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Siparişte hangi adres görünmeli? İndirilebilir ürünlerin siparişleri kargo adresi barındırmaz."
"Display","Göster"
"None","Hiçbirşey"
"Product Image","Ürün Resmi"
"SKU Barcode","SKU Barkodu"
"Display Quantity as full number","Adeti tam sayı olarak göster"
"US","ABD"
"European","Avrupalı"
"Customer Address Format","Müşteri Adres Formatı"
"Display Base and Order Currency","Matrah ve Sipariş Para Birimi"
"Delivery Date","Teslimat Tarihi"
"Display Delivery Date","Teslimat Tarihini Göster"
"Displays the date of the invoice again. Needed in some jurisdictions.","Faturanın tarihini tekrar göster. Bazı ülkelerin yasalarında zorunlu"
"Print Order History with Comments","Sipariş geçmişini yorumlar ile birlikte yazdır"
"Single - Shipping Address Label","Tek - Kargo Etiketi"
"Single - Billing Address Label","Tek - Ödeme Etiketi"
"Double - Both Addresses","Çift - Kargo ve Ödeme Adresleri"
"Use Integrated Labels","Entegre Etiketleri Kullan"
"Print Order as Packing Slip","Siparişi Toplama Listesi Olarak Yazdır"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Bu opsiyonu kargo oluşturmadan toplama listesi oluşturmak için kullanın. Kargo numarası yazdıramayacaksınız bunun yerine sipariş numarası yazdırılacaktır."
"Footer Block 1","Alt Bilgi 1"
"Footer Block 2","Alt Bilgi 2"
"Footer Block 3","Alt Bilgi 3"
"Footer Block 4","Alt Bilgi 4"
"Double - Shipping and Return Addresses","Çift - Teslimat ve İade Adresleri"
"Return Address","İade Adresi"
"Total Weight","Toplam Ağırlık"
"Display Total Weight","Toplam Ağırlığı Göster"
"kg","kg"
"Background Image for Pdf","Pdf için arka plan resmi"
"Placement of Logo","Logo Yerleşimi"
"Logo Width","Logo Uzunluğu"
"Logo Height","Logo Yüksekliği"
"Logo top-left Corner from the left","Logo sol köşeye yaslı"
"Logo top-left Corner from the top","Logo sol üst köşeye yaslı"
"automatic","Otomatik"
"no-scaling","Boyutlandırma"
"manual","Manuel"
"Display Email Address","E-Posta Adresini Göster"
"Displays as part of the billing address.","Ödeme adresinin bir kısmı olarak göster."
